judge,model,gt,dataset,prompt_id,rating,pred_length
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_0,3,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_1,3,169
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_2,4,213
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_3,3,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_4,4,176
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_5,3,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.333,cnn,cnn_6,3,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_7,3,210
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_8,3,206
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_9,3,183
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_10,3,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_11,3,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_12,4,131
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_13,4,179
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_14,3,210
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_15,3,236
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_16,3,230
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_17,4,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_18,4,171
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,3.667,cnn,cnn_19,4,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_20,4,215
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_21,3,148
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_22,3,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_23,4,165
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,4,cnn,cnn_24,3,190
