judge,model,gt,dataset,prompt_id,rating,pred_length
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_3,2,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_4,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_6,2,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_7,2,178
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_8,2,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,chatbotarena,chatbotarena_11,2,222
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_12,2,216
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_15,2,215
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_16,2,224
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_17,2,188
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_20,2,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0.333,chatbotarena,chatbotarena_22,0,124
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_25,1,54
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_26,2,188
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,chatbotarena,chatbotarena_31,2,177
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_32,2,224
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_47,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_50,2,57
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_52,0,60
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_53,2,121
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_54,2,124
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_55,2,53
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_56,2,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_61,2,93
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_64,2,44
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,chatbotarena,chatbotarena_65,2,16
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_67,2,93
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_69,2,85
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_70,0,202
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_71,2,152
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_72,2,87
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_78,2,73
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_80,2,86
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_83,2,13
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_85,0,76
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1,chatbotarena,chatbotarena_93,0,37
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_95,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_101,2,229
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0,chatbotarena,chatbotarena_109,0,61
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,chatbotarena,chatbotarena_114,1,112
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_151,2,159
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_156,2,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_159,0,75
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_161,2,189
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_163,2,214
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_166,0,91
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_167,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0.667,chatbotarena,chatbotarena_168,0,91
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_169,2,66
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_170,2,63
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0.667,chatbotarena,chatbotarena_171,0,187
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_172,2,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1,chatbotarena,chatbotarena_173,0,191
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_174,1,202
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1,chatbotarena,chatbotarena_180,0,93
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_185,2,198
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_189,2,23
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_192,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_193,2,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_194,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_195,2,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_196,2,212
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_198,2,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_199,2,229
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_200,2,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_201,2,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0,chatbotarena,chatbotarena_202,0,11
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,chatbotarena,chatbotarena_203,0,190
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_204,2,181
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_206,2,197
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_207,2,228
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_209,2,155
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_211,2,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_212,2,178
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_213,2,216
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_214,2,190
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_215,2,214
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_216,2,217
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0,chatbotarena,chatbotarena_217,0,12
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_218,2,217
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_219,0,158
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_220,0,247
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_222,2,238
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_223,2,218
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_224,2,204
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_227,2,216
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_229,2,198
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_230,2,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,chatbotarena,chatbotarena_231,2,179
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0,chatbotarena,chatbotarena_232,0,11
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_235,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_236,2,86
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_237,2,172
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_241,2,153
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_246,2,226
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_248,2,83
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_252,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0.667,chatbotarena,chatbotarena_263,0,230
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_264,2,59
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_265,2,123
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_272,2,36
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_273,2,172
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_275,2,155
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_276,2,222
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_282,2,169
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_283,2,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_287,2,213
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_292,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_329,2,53
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_331,2,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_332,2,209
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_334,2,86
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_335,2,230
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_337,2,69
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_340,0,232
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_341,2,229
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_346,2,214
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_348,2,217
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_352,1,234
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_356,1,156
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,chatbotarena,chatbotarena_360,2,34
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_361,2,157
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_363,2,42
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0,chatbotarena,chatbotarena_364,0,209
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_366,0,73
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_367,2,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_373,2,196
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_375,2,181
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_376,2,116
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_381,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_384,2,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_386,2,20
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,chatbotarena,chatbotarena_392,0,4
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_393,2,85
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_414,2,145
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_415,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_439,2,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,chatbotarena,chatbotarena_446,2,75
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_3,2,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_4,2,23
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_6,2,206
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_8,2,210
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_14,2,233
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_15,2,237
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_18,2,185
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_19,2,234
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_21,2,207
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_22,0,96
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_23,2,22
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_24,2,64
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_28,2,200
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_30,2,198
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_35,2,159
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_41,2,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,0.667,helm-instruct,helm-instruct_42,0,19
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_43,2,227
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_46,2,203
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_47,2,226
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_49,0,37
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_50,2,226
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_54,2,193
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_55,2,227
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_62,2,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_63,0,14
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_69,2,220
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_70,2,214
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_76,2,194
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.5,helm-instruct,helm-instruct_79,2,55
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.333,helm-instruct,helm-instruct_80,0,11
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_83,2,180
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_85,2,205
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_86,2,184
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_89,2,192
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_91,2,182
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_92,2,223
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_93,2,215
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_94,2,225
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_95,2,199
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_96,2,187
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_99,2,169
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_102,2,227
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_103,2,170
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_105,2,221
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_106,2,151
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_107,2,209
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_108,2,232
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_109,2,208
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_112,2,219
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,1.667,helm-instruct,helm-instruct_116,2,164
meta.llama3-1-70b-instruct-v1:0,anthropic.claude-v2:1,2,helm-instruct,helm-instruct_117,2,221
